latitude,longitude,loc_id
-45.44222,170.41333,0
-40.81531,172.7765,1
-42.421,173.691,2
-39.01654,177.40353,3
-43.22732,172.724,4
-41.35306,174.91083,5
-45.61673,170.61070999999998,6
-35.189029999999995,173.12503999999998,7
-43.9207,171.4856,8
-45.024,168.737,9
-38.92209,177.84381,10
-38.601216199999996,178.1464067,11
-40.697207999999996,175.855011,12
-40.324999999999996,175.611,13
-41.321999999999996,174.804,14
-40.975,175.638,15
-37.77567,175.30506,16
-45.76556,167.67972,17
-36.2248,174.02291,18
-43.789159999999995,171.79029,19
-46.086389999999994,167.81583,20
-42.653,173.043,21
-39.851389999999995,176.96083,22
-37.60341,176.0575,23
-36.92167,175.00806,24
-39.609249999999996,176.39453,25
-37.406853,175.828659,26
-39.60221,174.30838,27
-37.57137,178.281613,28
-44.6177,170.19559999999998,29
-35.73222,174.05861,30
-43.47103,171.8988,31
-45.94412,167.90080999999998,32
-41.1412,174.8832,33
-44.83407,167.77751999999998,34
-34.431999999999995,172.682,35
-43.743328,171.62429799999998,36
-42.53433,172.85098,37
-35.769,174.364,38
-39.04882,174.30165,39
-44.673989999999996,167.92299,40
-42.88033,172.68958999999998,41
-45.515319999999996,167.85798,42
-45.040099999999995,169.68419,43
-46.10829,169.24670999999998,44
-38.15255,177.0864,45
-44.592299999999994,170.0728,46
-35.931529999999995,173.85325,47
-38.659169999999996,177.983,48
-44.03774,170.77051,49
-44.74127,171.0631,50
-39.94336,175.16045,51
-39.16583,175.42167,52
-38.26331,175.0837,53
-37.925999999999995,176.91899999999998,54
-45.71111,168.25,55
-41.805,172.32399999999998,56
-35.1092,173.76242,57
-46.114999999999995,168.887,58
-35.50747,174.4519,59
-41.446369999999995,173.72653,60
-35.052444,173.430206,61
-43.31386,171.38761,62
-44.001729999999995,170.44319,63
-37.564,178.314,64
-35.129,174.015,65
-40.622,175.257,66
-46.44182,168.39772,67
-40.458614,176.296585,68
-45.1254,170.10030999999998,69
-39.61,176.912,70
-40.2039,176.4971,71
-37.821999999999996,176.32399999999998,72
-39.99944,176.53528,73
-40.40793,175.6423,74
-41.194269999999996,172.85691,75
-39.39944,175.18944,76
-39.158609999999996,176.61139,77
-37.16211,175.79658,78
-37.732659999999996,175.74090999999999,79
-39.44625,175.65787,80
-44.97781,168.018,81
-41.35116,173.95362,82
-42.81234,173.22208999999998,83
-42.88314,171.53229,84
-38.66,177.98399999999998,85
-36.05486,174.3228,86
-40.170809999999996,175.23877,87
-38.957699999999996,175.59081,88
-43.736,170.096,89
-42.8289,173.22386,90
-43.47,171.672,91
-43.328579999999995,172.61114,92
-40.217,176.117,93
-43.36548,170.13428,94
-39.45389,175.85222,95
-41.31198,174.72790999999998,96
-39.7747394,174.6011733,97
-43.17277,172.51139,98
-37.35065,175.34116,99
-40.40849,175.6508,100
-43.72154,170.06493,101
-38.158229999999996,174.772446,102
-39.26972,176.68222,103
-40.907,174.98399999999998,104
-43.31138,172.34623,105
-46.29282,169.73149999999998,106
-41.335,174.80499999999998,107
-43.609719999999996,171.15389,108
-41.42747,175.47118999999998,109
-40.279572,176.649353,110
